"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANKRD12",0.000239130435802315,0.257277432254452,0.416,0.423,1
"TENT5C",0.000254247523368579,0.321670155754423,0.114,0.093,1
"JUND",0.000260657230154126,0.291738647069461,0.32,0.304,1
"RARRES3",0.000302381803660839,0.263473818581549,0.205,0.184,1
"RHOB",0.000316969340651595,0.277408641756725,0.205,0.181,1
"CYCS",0.000403846120922363,0.254833934497815,0.424,0.434,1
"TOMM20",0.000424046519178695,0.261498961803049,0.404,0.416,1
"HPCAL1",0.000429375079433066,0.270780848610579,0.185,0.165,1
"SBDS",0.000686171667239889,0.278679772825999,0.252,0.239,1
"RAB11B",0.00179506272036416,0.284477681501156,0.221,0.209,1
"PMAIP1",0.00683228125297982,0.260462902009601,0.281,0.271,1
"SQSTM1",0.00969877379918865,0.258855148555928,0.314,0.319,1
"IMP3",0.0190326502487641,0.257444858441911,0.254,0.252,1
"SOCS3",0.0228496451023515,0.2763466731626,0.134,0.123,1
"GABARAP",0.0291614557511482,0.261127397489153,0.229,0.224,1
"EMD",0.0613791568291503,0.250509098448773,0.179,0.176,1
