"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TC2N",0,0.507858317960697,0.213,0.019,0
"BCL11B",0,0.584815544840797,0.246,0.012,0
"IL32",0,2.98575059626156,0.863,0.126,0
"LAT",0,1.40274844032317,0.533,0.05,0
"MAF",0,0.550798632865297,0.185,0.015,0
"SLFN5",0,0.660375718048506,0.308,0.049,0
"CD7",0,2.21103091087131,0.682,0.069,0
"SIRPG",0,0.57704233985095,0.223,0.017,0
"CST7",0,1.61674526691296,0.432,0.052,0
"GZMM",0,1.01591398212195,0.357,0.025,0
"HCST",0,1.27678043752831,0.78,0.293,0
"IL2RB",0,0.779101287257855,0.274,0.031,0
"FYB1",0,1.1387312043583,0.284,0.018,0
"SH2D2A",1.97874836242156e-305,0.730822090485242,0.253,0.035,7.41793186104594e-301
"RARRES3",2.265470842433e-300,1.09008455024285,0.574,0.169,8.49279709411283e-296
"RORA",1.49503615981729e-289,0.637786871165185,0.282,0.045,5.60459155592306e-285
"OXNAD1",4.41917195519275e-284,0.551688783060915,0.217,0.027,1.65665918256266e-279
"GZMK",2.38517201601256e-277,1.62155030956052,0.264,0.043,8.94153285362788e-273
"TBC1D4",3.21417575517037e-272,0.536202144212474,0.188,0.021,1.20493020709827e-267
"FLT3LG",8.32420943688548e-271,0.603123022926048,0.261,0.04,3.12057963369963e-266
"CTSW",2.41987584690466e-269,0.83680640269116,0.239,0.035,9.07163057487619e-265
"NKG7",3.37166609541636e-268,1.98748089888607,0.359,0.082,1.26397018584969e-263
"ID2",1.72209198651912e-267,1.19495823533721,0.392,0.094,6.45577843906287e-263
"CAMK4",6.09681618804805e-260,0.456445230407823,0.196,0.024,2.28557445257545e-255
"GPR171",1.54518529658277e-259,0.363083043356508,0.13,0.01,5.7925906398295e-255
